case_id,blocker_type,company,symbol,effective_date,required period,required fields,free sources checked,reason unresolved,minimum paid evidence needed
paid-f513425dc825b5c6,MONTHLY_SNAPSHOT_MISSING,,,2012-10-01,2012-10-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-9f2ba52b08bf343e,MONTHLY_SNAPSHOT_MISSING,,,2012-11-01,2012-11-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-57d995a8a18e1f27,MONTHLY_SNAPSHOT_MISSING,,,2012-12-01,2012-12-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-6df1f8c5a4def9da,MONTHLY_SNAPSHOT_MISSING,,,2013-01-01,2013-01-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-0a80d55c71c9abf4,MONTHLY_SNAPSHOT_MISSING,,,2013-02-01,2013-02-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-9530e4e3d3dcd43f,MONTHLY_SNAPSHOT_MISSING,,,2013-03-01,2013-03-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-efe27952b34c10f0,MONTHLY_SNAPSHOT_MISSING,,,2022-04-01,2022-04-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-13e33c67ec47d7c1,MONTHLY_SNAPSHOT_MISSING,,,2022-05-01,2022-05-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-63020bd5f030f017,MONTHLY_SNAPSHOT_MISSING,,,2022-06-01,2022-06-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-10eddc90dd18f620,MONTHLY_SNAPSHOT_MISSING,,,2022-07-01,2022-07-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-ac5c92c920b4074e,MONTHLY_SNAPSHOT_MISSING,,,2022-08-01,2022-08-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-f1779c165da8fe5b,MONTHLY_SNAPSHOT_MISSING,,,2022-09-01,2022-09-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-de789b038d6a55cf,MONTHLY_SNAPSHOT_MISSING,,,2022-10-01,2022-10-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-afa1522f2d6eb5db,MONTHLY_SNAPSHOT_MISSING,,,2022-11-01,2022-11-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-f81456b321997d0b,MONTHLY_SNAPSHOT_MISSING,,,2022-12-01,2022-12-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-5eacba8df8b780ea,MONTHLY_SNAPSHOT_MISSING,,,2023-01-01,2023-01-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-2c64e840cf0d0894,MONTHLY_SNAPSHOT_MISSING,,,2023-02-01,2023-02-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-42245c9ea1ebc2ee,MONTHLY_SNAPSHOT_MISSING,,,2023-03-01,2023-03-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-2ca2722cd5657b4d,MONTHLY_SNAPSHOT_MISSING,,,2023-04-01,2023-04-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-50bd949110eefcf4,MONTHLY_SNAPSHOT_MISSING,,,2023-05-01,2023-05-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-9c2ee0895dac78f6,MONTHLY_SNAPSHOT_MISSING,,,2023-06-01,2023-06-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-15a4de5aed6bb429,MONTHLY_SNAPSHOT_MISSING,,,2023-07-01,2023-07-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-4b43e163e1b55f22,MONTHLY_SNAPSHOT_MISSING,,,2023-08-01,2023-08-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-53ab7be5b068acfb,MONTHLY_SNAPSHOT_MISSING,,,2023-09-01,2023-09-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-56265f2e44509d24,MONTHLY_SNAPSHOT_MISSING,,,2023-10-01,2023-10-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-516b6b202554858e,MONTHLY_SNAPSHOT_MISSING,,,2023-11-01,2023-11-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-10f6393ed81f6d17,MONTHLY_SNAPSHOT_MISSING,,,2023-12-01,2023-12-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-c8ffe481f665a321,MONTHLY_SNAPSHOT_MISSING,,,2024-01-01,2024-01-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-40582273bb2e9181,MONTHLY_SNAPSHOT_MISSING,,,2024-02-01,2024-02-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-34490f572b07b53e,MONTHLY_SNAPSHOT_MISSING,,,2024-03-01,2024-03-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-3a3bed9f7f9eccc9,MONTHLY_SNAPSHOT_MISSING,,,2024-04-01,2024-04-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-7553aaa59a81a53c,MONTHLY_SNAPSHOT_MISSING,,,2024-05-01,2024-05-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-ccffc7fda69f6c42,MONTHLY_SNAPSHOT_MISSING,,,2024-06-01,2024-06-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-14c247c381e6aaa8,MONTHLY_SNAPSHOT_MISSING,,,2024-07-01,2024-07-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-5da70464b4e69e49,MONTHLY_SNAPSHOT_MISSING,,,2024-08-01,2024-08-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-951dbd50598af5ed,MONTHLY_SNAPSHOT_MISSING,,,2024-09-01,2024-09-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-f195f6082ab968b3,MONTHLY_SNAPSHOT_MISSING,,,2024-10-01,2024-10-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-ebfbb1d62e24d445,MONTHLY_SNAPSHOT_MISSING,,,2024-11-01,2024-11-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-b07499ae70e2a89f,MONTHLY_SNAPSHOT_MISSING,,,2024-12-01,2024-12-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-e7cedf6efa022608,MONTHLY_SNAPSHOT_MISSING,,,2025-01-01,2025-01-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-2da4d6a1624fe712,MONTHLY_SNAPSHOT_MISSING,,,2025-02-01,2025-02-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-7c21a13ca4aca401,MONTHLY_SNAPSHOT_MISSING,,,2025-03-01,2025-03-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-88dfa38c5469094f,MONTHLY_SNAPSHOT_MISSING,,,2025-04-01,2025-04-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-81505a654359db00,MONTHLY_SNAPSHOT_MISSING,,,2025-05-01,2025-05-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-d95eec0b38cb1dea,MONTHLY_SNAPSHOT_MISSING,,,2025-06-01,2025-06-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-c0a6cd0a7abf7cc5,MONTHLY_SNAPSHOT_MISSING,,,2025-07-01,2025-07-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-3b64a4b084352c6c,MONTHLY_SNAPSHOT_MISSING,,,2025-08-01,2025-08-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-d11a35bf6f0473e7,MONTHLY_SNAPSHOT_MISSING,,,2025-09-01,2025-09-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-b4717119e6db2761,MONTHLY_SNAPSHOT_MISSING,,,2025-10-01,2025-10-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-9cd9b5a273cc0bef,MONTHLY_SNAPSHOT_MISSING,,,2025-11-01,2025-11-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
